11,Toyota,40-7FG25,22252,4,C,rotating fork,2003-10-01 00:00:00,4173,,700000
4,Komatsu,FG20-7,108980,3,C,,? Year,unknown,,300000
13,Komatsu,FG25T-14,561743,4,T,,2001-12-01 00:00:00,2307,,550000
12,mitsubishi,FG25T,F17B-55073,4,T,,2001-09-01 00:00:00,9648,Dual use for LPG,550000
1,mitsubishi,FGE15T,F34-00268,3,T,,2009-08-01 00:00:00,20036,Dual use for LPG,480000
7,Unicaria,P1F1A20D,400761,3,T,,2014-03-01 00:00:00,12740,Dual use for LPG,600000
