5,Toyota,02-8FD1015,11343,3,T,,2007-08-01 00:00:00,1800,"Weight 1.5ton, Sayaka fork 1480mm",890000
4,Toyota,7FD14,11388,3,C,,1999-07-01 00:00:00,28087,,770000
3,mitsubishi,FD10,F16C-00124,3,C,,1997-11-01 00:00:00,9164,,400000
13,TCM,FD25C6,38K83079,3,C,,2002-03-01 00:00:00,8990,,1000000
25,TCM,FD115-4,8G105078,3,T,Side shift,2011-10-01 00:00:00,26478,Thread 2300mm,4700000
26,mitsubishi,FD150,F24A-00019,3,T,fork shift,1994,9475,"2800mm, mileage 37839km",6100000
